,train,val,test
0,0,60.0,126.0
1,1,5.0,127.0
2,2,35.0,128.0
3,3,23.0,129.0
4,4,15.0,130.0
5,6,68.0,131.0
6,7,12.0,132.0
7,8,45.0,133.0
8,9,119.0,134.0
9,10,113.0,135.0
10,11,41.0,136.0
11,13,88.0,137.0
12,16,30.0,138.0
13,17,74.0,139.0
14,18,54.0,140.0
15,19,73.0,141.0
16,20,14.0,142.0
17,21,,143.0
18,22,,144.0
19,24,,145.0
20,25,,146.0
21,26,,147.0
22,27,,148.0
23,28,,149.0
24,29,,150.0
25,31,,151.0
26,32,,152.0
27,33,,153.0
28,34,,154.0
29,36,,155.0
30,37,,156.0
31,38,,157.0
32,39,,158.0
33,40,,159.0
34,42,,
35,43,,
36,44,,
37,46,,
38,47,,
39,48,,
40,49,,
41,50,,
42,51,,
43,52,,
44,53,,
45,55,,
46,56,,
47,57,,
48,58,,
49,59,,
50,61,,
51,62,,
52,63,,
53,64,,
54,65,,
55,66,,
56,67,,
57,69,,
58,70,,
59,71,,
60,72,,
61,75,,
62,76,,
63,77,,
64,78,,
65,79,,
66,80,,
67,81,,
68,82,,
69,83,,
70,84,,
71,85,,
72,86,,
73,87,,
74,89,,
75,90,,
76,91,,
77,92,,
78,93,,
79,94,,
80,95,,
81,96,,
82,97,,
83,98,,
84,99,,
85,100,,
86,101,,
87,102,,
88,103,,
89,104,,
90,105,,
91,106,,
92,107,,
93,108,,
94,109,,
95,110,,
96,111,,
97,112,,
98,114,,
99,115,,
100,116,,
101,117,,
102,118,,
103,120,,
104,121,,
105,122,,
106,123,,
107,124,,
108,125,,
